"","Facility_reference_number","License_holder","Site_common_name","Fish_health_zone","Month","Number_of_counts_performed","L.salmonis_motile","L.salmonis_motile_audit","L.salmonis_female","L.salmonis_female_aduit","Chalimus","Chalimus_audit","Caligus","Caligus_audit","Comments","Year_class"
"2002","AQ1300","Marine Harvest","Althorpe","3.3","September","2","3.6",NA,"1.5",NA,"8.9",NA,"6.1",NA,"Management action planned","1"
"2011","AQ1586","Marine Harvest","Doctor Islets","3.3","September","1","0.1",NA,"0",NA,"0",NA,"0",NA,NA,"2"
"2021","AQ821","Marine Harvest","Glacier Falls","3.3","September","1","0.7",NA,"0.4",NA,"0",NA,"0",NA,NA,"1"
"2032","AQ1581","Marine Harvest","Hardwicke","3.3","September","1","0",NA,"0",NA,"0.4",NA,"0",NA,NA,"2"
"2042","AQ1618","Marine Harvest","Humphrey Rocks","3.3","September","1","0.1","0.1","0","0","0","0","0.1","0.1","2012-09-08 statistical agreement with farm count that day
 NA NA","1"
"2072","AQ467","Marine Harvest","Midsummer","3.3","September","2","4.7",NA,"1.2",NA,"4.6",NA,"0.3",NA,"Management action planned","1"
"2081","AQ1145","Marine Harvest","Potts Bay","3.3","September","1","4.5",NA,"1.1",NA,"2.6",NA,"0.4",NA,NA,"broodstock"
"2091","AQ1059","Marine Harvest","Sargeaunt Pass","3.3","September","1","0",NA,"0",NA,"0",NA,"0",NA,NA,"1"
"2101","AQ465","Marine Harvest","Swanson","3.3","September","1","2",NA,"1.5",NA,"1",NA,"0",NA,NA,"2"
"2111","AQ820","Marine Harvest","Wicklow","3.3","September","1","2.9",NA,"1.3",NA,"0.1",NA,"0",NA,NA,"2"
"2131","AQ1336","Mainstream Canada","Simmonds","3.4","September","2","0.8",NA,"0.3",NA,"0.5",NA,"0.1",NA,NA,"1"
"2141","AQ892","Marine Harvest","Bell Island","3.4","September","2","2.4",NA,"0.5",NA,"6.5",NA,"1.6",NA,NA,"1"
"215","AQ1351","Marine Harvest","Marsh","3.4","September","1","0.2",NA,"0.2",NA,"0",NA,"0.1",NA,NA,"2"
"2161","AQ1198","Marine Harvest","Raynor","3.4","September","1","1.4",NA,"0.2",NA,"0.8",NA,"1.3",NA,NA,"1"
"2171","AQ1350","Marine Harvest","Shelter Bay","3.4","September","****1","4.9",NA,"1.6",NA,"1.4",NA,"0.5",NA,"Management action planned","2"
"218","AQ831","Marine Harvest","Shelter Pass","3.4","September","1","0.7",NA,"0.3",NA,"0",NA,"0",NA,NA,"1"
"2201","AQ1720","Marine Harvest","Goat Cove","3.5","September","1","0.6",NA,"0.3",NA,"0.3",NA,"0.1",NA,NA,"1"
"2211","AQ1580","Marine Harvest","Jackson Pass","3.5","September","1","0.8",NA,"0.8",NA,"0.4",NA,"0.3",NA,NA,"1"
"222","AQ1691","Marine Harvest","Kid Bay","3.5","September","1","10.8",NA,"6.9",NA,"0.6",NA,"0.1",NA,"1 count only; no data submitted for 2nd count. Management action planned NA NA NA","1"
"2261","AQ1896","Marine Harvest","Lime Point","3.5","September","1","7.9",NA,"4.8",NA,"0.1",NA,"0.1",NA,"1 count only; no data submitted for 2nd count. Management action planned NA NA NA","1"
"2301","AQ1895","Marine Harvest","Sheep Passage","3.5","September","1","3.3",NA,"1.3",NA,"0.6",NA,"0.1",NA,"1 count only; no data submitted for 2nd count. Management action taken","2"
"15","AQ1537","Mainstream Canada","Bare Bluff",NA,"October","2","0.1",NA,"0",NA,"0",NA,"0",NA,NA,"1"
"16","AQ227","Mainstream Canada","Bawden ",NA,"October","1","3.4",NA,"2.1",NA,"0.2",NA,"0.1",NA,"2nd count precluded by a treatment or health management measure. Management action taken","1"
"1710","AQ520","Mainstream Canada","Bedwell",NA,"October","2","0.2",NA,"0.1",NA,"0",NA,"0",NA,NA,"1"
"1810","AQ1507","Mainstream Canada","Millar ",NA,"October","1","3",NA,"2",NA,"0.4",NA,"0",NA,NA,"2"
"1913","AQ543","Mainstream Canada","Mussel Rock",NA,"October","2","0.1",NA,"0",NA,"0.1",NA,"0",NA,NA,"2"
"2012","AQ526","Mainstream Canada","Rant Pt",NA,"October","1","0.4",NA,"0.3",NA,"0.1",NA,"0.2",NA,NA,"2"
"2110","AQ314","Mainstream Canada","Ross Pass",NA,"October","1","4.2",NA,"2.2",NA,"0.2",NA,"0",NA,"2nd count precluded by a treatment or health management measure. Management action taken","2"
"2210","AQ527","Mainstream Canada","Saranac",NA,"October","2","0.7",NA,"0.4",NA,"0",NA,"0",NA,NA,"1"
"234","AQ1472","Mainstream Canada","West Side",NA,"October","2","0",NA,"0",NA,"0",NA,"0",NA,NA,"2"
"254","AQ1738","Grieg Seafood"," Atrevida ","2.4","October","1","1.2",NA,"0.8",NA,"0.1",NA,"0",NA,NA,"2"
"263","AQ1789","Grieg Seafood"," Concepcion ","2.4","October","1","0.9",NA,"0.4",NA,"0",NA,"0",NA,NA,"1"
"272","AQ1849","Grieg Seafood","Muchalat N","2.4","October","1","0.4",NA,"0.1",NA,"0",NA,"0",NA,NA,"2"
"283","AQ1705","Grieg Seafood","Williamson","2.4","October","1","0.8",NA,"0.2",NA,"0",NA,"0",NA,NA,"1"
"292","AQ144","Marine Harvest","Koskimo","2.4","October","2","1",NA,"0.4",NA,"0",NA,"0",NA,NA,"1"
"302","AQ1237","Marine Harvest","Monday Rocks","2.4","October","2","1.7","2.9","0.7","1.3","0.4","1.6","0","0.1","2011-10-13 statistical agreement with farm count that day
","1"
"322","AQ1698","Grieg Seafood"," Ahlstrom ","3.1","October","1","0",NA,"0",NA,"0",NA,"0",NA,NA,"2"
"332","AQ1697","Grieg Seafood"," Culloden ","3.1","October","1","0.1",NA,"0",NA,"0",NA,"0",NA,NA,"2"
"343","AQ746","Grieg Seafood"," Farm 13","3.1","October","1","0.2",NA,"0",NA,"0",NA,"0",NA,NA,NA
"352","AQ332","Grieg Seafood"," Salten ","3.1","October","1","0.1",NA,"0.1",NA,"0",NA,"0",NA,NA,"1"
"373","AQ137","Grieg Seafood"," Conville Bay ","3.2","October","1","0.8",NA,"0.4",NA,"0.1",NA,"0",NA,NA,"2"
"382","AQ1401","Mainstream Canada","Brent ","3.2","October","1","0.4",NA,"0.1",NA,"0",NA,"0",NA,NA,"1"
"392","AQ306","Mainstream Canada","Venture","3.2","October","1","0.7",NA,"0.2",NA,"0",NA,"0",NA,NA,"1"
"403","AQ388","Marine Harvest","Brougham Pt","3.2","October","2","0.8",NA,"0.4",NA,"0",NA,"0",NA,NA,"2"
"413","AQ790","Marine Harvest","Chancellor ","3.2","October","1","0.6","0.6","0.1","0.1","1.2","1.2","0.8","0.8","2011-10-18 statistical agreement with farm count that day
","2"
"423","AQ733","Marine Harvest","Cyrus Rocks","3.2","October","1","2.5",NA,"0.9",NA,"2",NA,"2",NA,NA,"1"
"433","AQ1581","Marine Harvest","Hardwicke","3.2","October","1","0.2",NA,"0.1",NA,"6.5",NA,"1.7",NA,NA,"2"
"441","AQ100","Marine Harvest","Lees Bay","3.2","October","1","1.2",NA,"0.4",NA,"1.9",NA,"1.4",NA,NA,"2"
"452","AQ380","Marine Harvest","Sonora Pt","3.2","October","1","0.6",NA,"0.1",NA,"0.6",NA,"0.8",NA,NA,"2"
"463","AQ378","Marine Harvest","Thurlow S","3.2","October","4","1","0.5","0.4","0.2","0.1","0","0.1","0.1","2011-10-19 statistical agreement with farm count that day
","2"
"481","AQ1825","Grieg Seafood"," Bennett Pt","3.3","October","1","0.1",NA,"0.1",NA,"0",NA,"0",NA,NA,"2"
"492","AQ1144","Mainstream Canada","Burdwood","3.3","October","1","0.5",NA,"0.2",NA,"0.1",NA,"0",NA,NA,"2"
"503","AQ1300","Marine Harvest","Althorpe","3.3","October","3","2.7","3.5","1.2","1.4","5.1","5.1","3.8","4.4","2011-10-14 statistical agreement with farm count that day. Management action taken
 ","1"
"512","AQ1586","Marine Harvest","Doctor Islets","3.3","October","1","0.3",NA,"0.1",NA,"0.2",NA,"0",NA,NA,"2"
"523","AQ821","Marine Harvest","Glacier Falls","3.3","October","1","1.6","1.6","0.7","0.7","0.1","0.1","0","0","2011-10-05 statistical agreement with farm count that day
","1"
"531","AQ1618","Marine Harvest","Humphrey Rocks","3.3","October","1","0.2",NA,"0.1",NA,"0",NA,"0",NA,NA,"1"
"541","AQ467","Marine Harvest","Midsummer","3.3","October","2","4.5",NA,"1.9",NA,"8.7",NA,"0.2",NA,"Management action planned","2"
"553","AQ1145","Marine Harvest","Potts Bay","3.3","October","1","4.8",NA,"1.9",NA,"5.4",NA,"0.3",NA,NA,"broodstock"
"563","AQ1059","Marine Harvest","Sargeaunt Pass","3.3","October","1","0.1",NA,"0",NA,"0",NA,"0",NA,NA,"1"
"572","AQ465","Marine Harvest","Swanson","3.3","October","2","3.1","2.4","1.7","0.9","0.9","0.9","0.6","0.3","2011-10-06 statistical agreement with farm count that day. Management action taken","2"
"583","AQ820","Marine Harvest","Wicklow","3.3","October","1","5.7",NA,"3.7",NA,"0.6",NA,"0.1",NA," Count exceeding threshold occurred near month's end; management response obligations apply in the following month","2"
"603","AQ1336","Mainstream Canada","Simmonds","3.4","October","2","1",NA,"0.3",NA,"0.6",NA,"0.2",NA,NA,"1"
"613","AQ892","Marine Harvest","Bell Island","3.4","October","3","5.2","3.6","2.5","1","4.1","3.4","0.8","0.8","2011-10-12 statistical agreement with farm count that day. Management action planned","1"
"623","AQ1351","Marine Harvest","Marsh","3.4","October","1","0.1",NA,"0",NA,"0",NA,"0.1",NA,NA,"2"
"633","AQ1198","Marine Harvest","Raynor","3.4","October","1","2.8",NA,"1.3",NA,"1.8",NA,"1.4",NA,NA,"1"
"643","AQ1350","Marine Harvest","Shelter Bay","3.4","October","2","4.6","2.9","2.3","1.5","1","1.3","0.6","0.7","2011-10-12 statistical agreement with farm count that day. Management action planned","2"
"652","AQ831","Marine Harvest","Shelter Pass","3.4","October","1","1.5",NA,"0.6",NA,"0",NA,"0.1",NA,NA,"1"
"673","AQ1720","Marine Harvest","Goat Cove","3.5","October","1","1.7",NA,"0.5",NA,"1.4",NA,"0.1",NA,"Management action taken","1"
"683","AQ1691","Marine Harvest","Kid Bay","3.5","October","1","13.7",NA,"8.2",NA,"2",NA,"0.2",NA,"2nd count precluded by a treatment or health management measure. Management action taken","2"
"692","AQ1896","Marine Harvest","Lime Point","3.5","October","2","9.1",NA,"4.6",NA,"1",NA,"0",NA,"Management action taken","1"
"703","AQ1895","Marine Harvest","Sheep Passage","3.5","October","2","7.6",NA,"3.7",NA,"0.5",NA,"0.1",NA,"Management action taken","2"
"733","AQ1537","Mainstream Canada","Bare Bluff","2.3","November","2","0.1","0","0.1","0","0.1","0.1","0","0","2011-11-08 statistical agreement with farm count that day
","1"
"743","AQ227","Mainstream Canada","Bawden ","2.3","November","1","0.5",NA,"0.2",NA,"0",NA,"0",NA,NA,"1"
"751","AQ520","Mainstream Canada","Bedwell","2.3","November","2","0.3",NA,"0.1",NA,"0.3",NA,"0",NA,NA,"1"
"763","AQ234","Mainstream Canada","Dixon","2.3","November","1","0.3",NA,"0.1",NA,"0.1",NA,"0.4",NA,NA,"1"
"773","AQ1507","Mainstream Canada","Millar ","2.3","November","1","2.3",NA,"1.9",NA,"0.3",NA,"0.3",NA,NA,"2"
"782","AQ543","Mainstream Canada","Mussel Rock","2.3","November","2","0.3",NA,"0.1",NA,"0.4",NA,"0.1",NA,NA,"2"
"793","AQ314","Mainstream Canada","Ross Pass","2.3","November","1","0.5",NA,"0.4",NA,"0",NA,"0",NA,NA,"2"
"803","AQ527","Mainstream Canada","Saranac","2.3","November","1","0.6",NA,"0.2",NA,"0.2",NA,"1.4",NA,NA,"1"
"812","AQ1472","Mainstream Canada","West Side","2.3","November","2","0.1","0.1","0","0.1","0.1","0.1","0","0.1","2011-11-07 statistical agreement with farm count that day","2"
"833","AQ1738","Grieg Seafood"," Atrevida ","2.4","November","1","1.1",NA,"0.5",NA,"0",NA,"0",NA,NA,"2"
"841","AQ1789","Grieg Seafood"," Concepcion ","2.4","November","2","1.1","1.5","0.5","0.5","0.2","0.1","0","0","2011-11-29 statistical agreement with farm count that day","1"
"852","AQ1705","Grieg Seafood","Williamson","2.4","November","1","0.5",NA,"0.2",NA,"0",NA,"0",NA,NA,"1"
"862","AQ144","Marine Harvest","Koskimo","2.4","November","1","0.5",NA,"0.1",NA,"4.8",NA,"0.2",NA,NA,"2"
"873","AQ1237","Marine Harvest","Monday Rocks","2.4","November","1","0.7",NA,"0.4",NA,"3.7",NA,"0",NA,NA,"1"
"893","AQ1698","Grieg Seafood"," Ahlstrom ","3.1","November","1","0.2","0.2","0","0","0","0","0.1","0.1","2011-11-18 statistical agreement with farm count that day","2"
"902","AQ1697","Grieg Seafood"," Culloden ","3.1","November","1","0.1",NA,"0",NA,"0",NA,"0",NA,NA,"2"
"912","AQ746","Grieg Seafood"," Farm 13 ","3.1","November","1","0",NA,"0",NA,"0",NA,"0",NA,NA,NA
"931","AQ871","Grieg Seafood","Barnes Bay","3.2","November","1","0.4",NA,"0.1",NA,"0.6",NA,"0",NA,NA,"1"
"942","AQ137","Grieg Seafood"," Conville Bay ","3.2","November","1","1.5",NA,"0.7",NA,"0.4",NA,"0",NA,NA,"2"
"953","AQ1401","Mainstream Canada","Brent ","3.2","November","1","0.2",NA,"0.1",NA,"0",NA,"0",NA,NA,"1"
"963","AQ306","Mainstream Canada","Venture","3.2","November","1","0.3",NA,"0.1",NA,"0",NA,"0.4",NA,NA,"1"
"973","AQ388","Marine Harvest","Brougham Pt","3.2","November","1","0.1",NA,"0.1",NA,"0.1",NA,"0",NA,NA,"2"
"983","AQ790","Marine Harvest","Chancellor ","3.2","November","0",NA,NA,NA,NA,NA,NA,NA,NA,"Counts precluded by diminished stock (<3 pens)","2"
"993","AQ733","Marine Harvest","Cyrus Rocks","3.2","November","1","6.5",NA,"2.9",NA,"3.5",NA,"4.1",NA,"2nd count precluded by a treatment or health management measure. Management action taken","1"
"1003","AQ1581","Marine Harvest","Hardwicke","3.2","November","1","1.7",NA,"0.5",NA,"4.3",NA,"2.6",NA,NA,"2"
"1013","AQ100","Marine Harvest","Lees Bay","3.2","November","1","1.6",NA,"0.7",NA,"4.4",NA,"1.9",NA,NA,"2"
"1022","AQ380","Marine Harvest","Sonora Pt","3.2","November","2","0.2",NA,"0.1",NA,"0.3",NA,"0.3",NA,NA,"2"
"1033","AQ378","Marine Harvest","Thurlow S","3.2","November","1","0",NA,"0",NA,"0",NA,"0.1",NA,NA,"2"
"1053","AQ1825","Grieg Seafood"," Bennett ","3.3","November","1","0",NA,"0",NA,"0.1",NA,"0",NA,NA,"2"
"1063","AQ819","Mainstream Canada","Cecil ","3.3","November","1","0.3",NA,"0.1",NA,"0",NA,"0",NA,NA,"broodstock"
"1072","AQ728","Mainstream Canada","Sir Ed","3.3","November","1","0.2",NA,"0",NA,"0.3",NA,"0.1",NA,NA,"1"
"1083","AQ1300","Marine Harvest","Althorpe","3.3","November","1","0.4",NA,"0.2",NA,"0",NA,"0",NA,NA,"2"
"1092","AQ1586","Marine Harvest","Doctor Islets","3.3","November","1","0.1",NA,"0.1",NA,"0.6",NA,"0.1",NA,NA,"2"
"1102","AQ821","Marine Harvest","Glacier Falls","3.3","November","1","1.6",NA,"0.7",NA,"0.3",NA,"1.1",NA,NA,"2"
"1112","AQ1618","Marine Harvest","Humphrey Rocks","3.3","November","1","0.3",NA,"0.1",NA,"0.1",NA,"0.1",NA,NA,"1"
"1122","AQ467","Marine Harvest","Midsummer","3.3","November","1","4.8",NA,"1.9",NA,"7",NA,"3.8",NA,"2nd count precluded by a treatment or health management measure. Management action taken","2"
"1133","AQ1145","Marine Harvest","Potts Bay","3.3","November","1","4.6",NA,"3.1",NA,"2.5",NA,"0.2",NA,NA,"broodstock"
"1143","AQ1059","Marine Harvest","Sargeaunt Pass","3.3","November","1","0.1",NA,"0",NA,"0.2",NA,"0",NA,NA,"1"
"1152","AQ465","Marine Harvest","Swanson","3.3","November","1","4.6",NA,"3.4",NA,"1.9",NA,"0.6",NA,"Management action taken","2"
"1163","AQ820","Marine Harvest","Wicklow","3.3","November","2","4.6",NA,"3.2",NA,"1.1",NA,"0.1",NA,"Management action planned","2"
"1183","AQ1336","Mainstream Canada","Simmonds","3.4","November","2","1",NA,"0.3",NA,"0.7",NA,"0.4",NA,NA,"1"
"1193","AQ892","Marine Harvest","Bell Island","3.4","November","1","2.6",NA,"0.9",NA,"0.1",NA,"0",NA,"Management action taken","1"
"1202","AQ1351","Marine Harvest","Marsh","3.4","November","1","0.4",NA,"0.1",NA,"7.5",NA,"0.7",NA,NA,"2"
"1213","AQ1198","Marine Harvest","Raynor","3.4","November","1","3.2",NA,"1.2",NA,"0.9",NA,"0.9",NA,"2nd count precluded by a treatment or health management measure. Management action taken","1"
"1223","AQ1350","Marine Harvest","Shelter Bay","3.4","November","2","3.8",NA,"2.3",NA,"0.3",NA,"0.4",NA,"Management action taken","2"
"1232","AQ831","Marine Harvest","Shelter Pass","3.4","November","1","3.2",NA,"1.6",NA,"0.4",NA,"0.3",NA," Count exceeding threshold occurred near month's end; management response obligations apply in the following month","1"
"1253","AQ1720","Marine Harvest","Goat Cove","3.5","November","1","0.1",NA,"0",NA,"0.1",NA,"0",NA,NA,"1"
"1263","AQ1691","Marine Harvest","Kid Bay","3.5","November","1","3.5",NA,"2.1",NA,"0",NA,"0",NA,"Management action taken","2"
"1272","AQ1896","Marine Harvest","Lime Point","3.5","November","2","2.2","2.9","1.2","1.7","0.1","0.1","0","0","2011-11-02 statistical agreement with farm count on that day","1"
"1303","AQ1895","Marine Harvest","Sheep Passage","3.5","November","2","14.7",NA,"8.1",NA,"0.8",NA,"0",NA,"Management action taken","2"
"1333","AQ1537","Mainstream Canada","Bare Bluff","2.3","December","2","0",NA,"0",NA,"0",NA,"0",NA,NA,"2"
"1343","AQ227","Mainstream Canada","Bawden","2.3","December","2","0.1",NA,"0.1",NA,"0",NA,"0",NA,NA,"1"
"1353","AQ520","Mainstream Canada","Bedwell","2.3","December","2","0.3",NA,"0.1",NA,"0",NA,"0.1",NA,NA,"2"
"1363","AQ234","Mainstream Canada","Dixon","2.3","December","2","0.6",NA,"0.1",NA,"0.6",NA,"0.4",NA,NA,"1"
"1372","AQ540","Mainstream Canada","Fortune","2.3","December","1","0",NA,"0",NA,"0",NA,"0.1",NA,NA,"1"
"1382","AQ1507","Mainstream Canada","Millar ","2.3","December","0",NA,NA,NA,NA,NA,NA,NA,NA,"Counts precluded by diminished stock (<4 pens)","2"
"1391","AQ543","Mainstream Canada","Mussel Rock","2.3","December","2","0.4",NA,"0.3",NA,"0",NA,"0",NA,NA,"2"
"1401","AQ314","Mainstream Canada","Ross Pass","2.3","December","2","0.2",NA,"0.2",NA,"0",NA,"0",NA,NA,"2"
"1413","AQ527","Mainstream Canada","Saranac","2.3","December","1","1.3",NA,"0.7",NA,"0.7",NA,"0",NA,NA,"1"
"1423","AQ1472","Mainstream Canada","West Side","2.3","December","2","0.1",NA,"0",NA,"0.1",NA,"0",NA,NA,"2"
"1442","AQ1738","Grieg Seafood","Atrevida ","2.4","December","1","2.5",NA,"1.2",NA,"0.1",NA,"0",NA,"Management action taken","2"
"1452","AQ1789","Grieg Seafood","Concepcion ","2.4","December","1","0.6",NA,"0.3",NA,"0.1",NA,"0",NA,NA,"1"
"1461","AQ1705","Grieg Seafood","Williamson","2.4","December","1","1.1",NA,"0.2",NA,"0",NA,"0.3",NA,NA,"1"
"1471","AQ144","Marine Harvest","Koskimo","2.4","December","1","1",NA,"0.3",NA,"1.6",NA,"0.6",NA,NA,"2"
"1482","AQ1238","Marine Harvest","Mahatta W","2.4","December","1","0.1",NA,"0",NA,"1.4",NA,"0.5",NA,NA,"1"
"1493","AQ1237","Marine Harvest","Monday Rocks","2.4","December","1","0.5",NA,"0.3",NA,"2.6",NA,"1.7",NA,NA,"2"
"1512","AQ1698","Grieg Seafood"," Ahlstrom ","3.1","December","0",NA,NA,NA,NA,NA,NA,NA,NA,"Counts precluded by diminished stock (<4 pens) NA","2"
"1532","AQ1697","Grieg Seafood","Culloden ","3.1","December","1","0.2",NA,"0",NA,"0",NA,"0",NA,NA,"2"
"1543","AQ746","Grieg Seafood","Farm 13 ","3.1","December","1","0.3",NA,"0.1",NA,"0",NA,"0",NA,NA,"2"
"1551","AQ221","Grieg Seafood","Vantage","3.1","December","1","0",NA,"0",NA,"0",NA,"0",NA,NA,"2"
"1572","AQ871","Grieg Seafood","Barnes Bay","3.2","December","1","1.4",NA,"0.3",NA,"0.3",NA,"0",NA,NA,"1"
"1583","AQ137","Grieg Seafood","Conville Bay ","3.2","December","1","2.4",NA,"1.2",NA,"0.2",NA,"0",NA,"Management action taken","2"
"1592","AQ1401","Mainstream Canada","Brent Island","3.2","December","1","0.2",NA,"0",NA,"0.2",NA,"0",NA,NA,"1"
"1602","AQ304","Mainstream Canada","Raza","3.2","December","1","0.1",NA,"0",NA,"0.2",NA,"0.1",NA,NA,"1"
"1613","AQ306","Mainstream Canada","Venture","3.2","December","2","0.2",NA,"0",NA,"0.2",NA,"1.2",NA,NA,"1"
"1623","AQ388","Marine Harvest","Brougham Pt","3.2","December","1","0.1",NA,"0",NA,"1",NA,"1",NA,NA,"2"
"1633","AQ790","Marine Harvest","Chancellor ","3.2","December","0",NA,NA,NA,NA,NA,NA,NA,NA,"Counts precluded by diminished stock (<4 pens) NA","2"
"1653","AQ733","Marine Harvest","Cyrus Rocks","3.2","December","2","1.4",NA,"0.6",NA,"0.2",NA,"0.1",NA,NA,"2"
"1662","AQ1581","Marine Harvest","Hardwicke","3.2","December","2","7.2",NA,"3.4",NA,"1.8",NA,"1.9",NA,"Management action taken","2"
"1672","AQ100","Marine Harvest","Lees Bay","3.2","December","0",NA,NA,NA,NA,NA,NA,NA,NA,"Counts precluded by diminished stock (<4 pens)","2"
"1682","AQ380","Marine Harvest","Sonora Pt","3.2","December","2","0.8",NA,"0.3",NA,"2.3",NA,"1",NA,NA,"2"
"1692","AQ378","Marine Harvest","Thurlow S","3.2","December","1","1.5",NA,"0.2",NA,"1.9",NA,"0.7",NA,NA,"2"
"1712","AQ1825","Grieg Seafood","Bennett Pt","3.3","December","1","0.2",NA,"0.1",NA,"1.2",NA,"0",NA,NA,"2"
"1723","AQ1144","Mainstream Canada","Burdwood","3.3","December","0",NA,NA,NA,NA,NA,NA,NA,NA,"Count precluded by fish transfer mid-month NA","1"
"1743","AQ819","Mainstream Canada","Cecil","3.3","December","3","0.1",NA,"0.1",NA,"0",NA,"0",NA,NA,"broodstock"
"1752","AQ728","Mainstream Canada","Sir Ed","3.3","December","2","0.4",NA,"0.1",NA,"0.4",NA,"0.3",NA,NA,"1"
"1761","AQ1300","Marine Harvest","Althorpe","3.3","December","1","0.2",NA,"0.1",NA,"0.3",NA,"0",NA,NA,"2"
"1773","AQ1586","Marine Harvest","Doctor Islets","3.3","December","1","1.5",NA,"0.4",NA,"0.7",NA,"0",NA,NA,"2"
"1783","AQ821","Marine Harvest","Glacier Falls","3.3","December","1","2.3",NA,"1.1",NA,"3.1",NA,"1.9",NA,"Management action taken","2"
"1793","AQ1618","Marine Harvest","Humphrey Rocks","3.3","December","1","1",NA,"0.3",NA,"1.1",NA,"0.7",NA,"Management action taken","2"
"1803","AQ467","Marine Harvest","Midsummer","3.3","December","2","1.9",NA,"1",NA,"0.1",NA,"0.2",NA,NA,"2"
"1812","AQ1145","Marine Harvest","Potts Bay","3.3","December","1","6.5",NA,"3.9",NA,"1.4",NA,"0.1",NA,NA,"broodstock"
"1822","AQ1059","Marine Harvest","Sargeaunt Pass","3.3","December","1","0",NA,"0",NA,"0.3",NA,"0",NA,"Management action taken","1"
"1831","AQ820","Marine Harvest","Wicklow","3.3","December","2","4.9",NA,"3.5",NA,"0.4",NA,"0.1",NA,"Management action planned","2"
"1852","AQ1336","Mainstream Canada","Simmonds","3.4","December","2","1.7",NA,"0.8",NA,"0.3",NA,"0.4",NA,NA,"1"
"1861","AQ892","Marine Harvest","Bell Island","3.4","December","1","0.5",NA,"0.1",NA,"0",NA,"0",NA,NA,"1"
"1871","AQ1288","Marine Harvest","Doyle","3.4","December","1","1.1",NA,"0.2",NA,"0.3",NA,"0.2",NA,NA,"1"
"1882","AQ1351","Marine Harvest","Marsh","3.4","December","1","0.5",NA,"0.1",NA,"0.1",NA,"0.3",NA,NA,"2"
"1893","AQ1198","Marine Harvest","Raynor","3.4","December","0",NA,NA,NA,NA,NA,NA,NA,NA,"Count precluded by fish transfer mid-month","1"
"1903","AQ1350","Marine Harvest","Shelter Bay","3.4","December","1","0.4",NA,"0.3",NA,"0",NA,"0",NA,NA,"2"
"1914","AQ831","Marine Harvest","Shelter Pass","3.4","December","2","4.7",NA,"1.6",NA,"1.7",NA,"0.7",NA,"Management action taken","1"
"1933","AQ1720","Marine Harvest","Goat Cove","3.5","December","0",NA,NA,NA,NA,NA,NA,NA,NA,"No count data submitted","2"
"1952","AQ1691","Marine Harvest","Kid Bay","3.5","December","1","2.5",NA,"1.6",NA,"0",NA,"0",NA,NA,"2"
"1961","AQ1896","Marine Harvest","Lime Point","3.5","December","1","2.3",NA,"1.1",NA,"0",NA,"0",NA,NA,"2"
"1973","AQ1895","Marine Harvest","Sheep Passage","3.5","December","0",NA,NA,NA,NA,NA,NA,NA,NA,"Counts precluded by diminished stock (<4 pens)","2"
"1813","AQ1537","Mainstream Canada","Bare Bluff",NA,"January","2","0",NA,"0",NA,"0",NA,"0.1",NA,NA,"1"
"1915","AQ227","Mainstream Canada","Bawden ",NA,"January","3","0.1","0.1","0.1","0","0.6","1.3","0.2","0.4","2012-01-26 statistical agreement with farm count on audit day","1"
"2212","AQ520","Mainstream Canada","Bedwell",NA,"January","1","0.4",NA,"0.1",NA,"0.2",NA,"0.2",NA,NA,"1"
"236","AQ 412 ","Mainstream Canada","Dixon",NA,"January","2","0.8",NA,"0.3",NA,"0.2",NA,"0.4",NA,NA,"1"
"242","AQ1507","Mainstream Canada","Fortune",NA,"January","2","0",NA,"0",NA,"0.1",NA,"0.1",NA,NA,"2"
"255","AQ543","Mainstream Canada","Mussel Rock",NA,"January","2","0.2","0.3","0.2","0.2","0","0","0","0","2012-01-25 statistical agreement with farm count on audit day","2"
"284","AQ314","Mainstream Canada","Ross Pass",NA,"January","2","0.2",NA,"0.1",NA,"0.1",NA,"0",NA,NA,"2"
"293","AQ527","Mainstream Canada","Saranac",NA,"January","2","1.3",NA,"0.8",NA,"0.4",NA,"0",NA,NA,"1"
"303","AQ1472","Mainstream Canada","West Side",NA,"January","2","0.1",NA,"0",NA,"0.2",NA,"0",NA,NA,"2"
"323","AQ1738","Grieg Seafood"," Atrevida ","2.4","January","2","0.8",NA,"0.4",NA,"0",NA,"0",NA,NA,"2"
"333","AQ1789","Grieg Seafood"," Concepcion ","2.4","January","2","0.6",NA,"0.2",NA,"0",NA,"0",NA,NA,"1"
"344","AQ1849","Grieg Seafood","Muchalat S","2.4","January","1","0",NA,"0",NA,"0",NA,"0",NA,NA,"1"
"353","AQ1705","Grieg Seafood","Williamson","2.4","January","2","0.5",NA,"0.3",NA,"0",NA,"0",NA,NA,"1"
"363","AQ144","Marine Harvest","Koskimo","2.4","January","1","0.9",NA,"0.3",NA,"1.8",NA,"1.8",NA,NA,"2"
"374","AQ1238","Marine Harvest","Mahatta W","2.4","January","2","0.1",NA,"0",NA,"0.2",NA,"0.4",NA,NA,"1"
"383","AQ1237","Marine Harvest","Monday Rocks","2.4","January","1","1.2",NA,"0.5",NA,"0.6",NA,"0",NA,NA,"2"
"404","AQ 412","Grieg Seafood","Farm 9","3.1","January","1","0",NA,"0",NA,"0",NA,"0",NA,NA,"1"
