esc,river,year,area,exp
NA,NEW VANCOUVER CREEK,1967,12,0.660846281907222
NA,FOUR LAKES CREEK,1967,8,30.00%
200,SAGAR CREEK,1967,8,30.00%
400,KOKISH RIVER,1967,12,0.660846281907222
NA,TSULTON RIVER,1967,12,0.660846281907222
0,LOCKHART GORDON CREEK,1967,9,95.00%
0,VINER SOUND CREEK,1967,12,0.660846281907222
NA,RETURN CHANNEL CREEKS,1967,7,23.00%
0,WEBSTER LAKE CREEK,1967,7,23.00%
NA,DORIS CREEK,1967,9,95.00%
1200,DEAN RIVER,1967,8,30.00%
NA,PENO CREEK,1967,7,23.00%
NA,DRANEY CREEK,1967,9,95.00%
NA,GENESEE CREEK,1967,9,95.00%
15000,AHTA RIVER,1967,12,0.660846281907222
NA,HOGAN CREEK,1967,9,95.00%
NA,ATNARKO RIVER,1967,8,30.00%
7500,KWATNA RIVER,1967,8,30.00%
400,CARTER RIVER,1967,7,23.00%
7500,AHTA VALLEY CREEK,1967,12,0.660846281907222
3000,NEEKAS CREEK,1967,7,23.00%
25,KWALATE CREEK,1967,12,0.660846281907222
25,HOEYA SOUND CREEK,1967,12,0.660846281907222
NA,HYCUND CREEK,1967,12,0.660846281907222
0,NOEICK RIVER,1967,8,30.00%
0,TSULQUATE RIVER,1967,12,0.660846281907222
75,SHUSHARTIE RIVER,1967,12,0.660846281907222
0,BIG BAY CREEK,1967,7,23.00%
0,LARD CREEK,1967,7,23.00%
NA,BEAVER CREEK,1967,9,95.00%
0,WALKER LAKE CREEK,1967,7,23.00%
NA,CHOKE PASS CREEKS (3),1967,7,23.00%
NA,PERRY CREEK,1967,9,95.00%
0,CLYAK RIVER,1967,9,95.00%
NA,NIGGER CREEK,1967,12,0.660846281907222
NA,CREASY BAY RIVER,1967,12,0.660846281907222
NA,SALLIE CREEK,1967,12,0.660846281907222
75000,GLENDALE CREEK,1967,12,0.660846281907222
NA,HAUSKIN CREEK,1967,12,0.660846281907222
NA,TUNA RIVER,1967,12,0.660846281907222
0,FULMORE RIVER,1967,12,0.660846281907222
200,KITASU CREEK,1967,7,23.00%
NA,QUATSESE RIVER,1967,12,0.660846281907222
3500,ADAM RIVER,1967,12,0.660846281907222
400,NIMPKISH RIVER,1967,12,0.660846281907222
NA,KIMSQUIT RIVER,1967,8,30.00%
NA,ICY RIVER,1967,12,0.660846281907222
NA,GREEN RIVER,1967,8,30.00%
0,KAMANO BAY CREEK,1967,12,0.660846281907222
NA,TANCRED CREEK,1967,12,0.660846281907222
NA,WALDEN CREEK II,1967,12,0.660846281907222
NA,RAINBOW CREEK,1967,7,23.00%
7500,KOEYE RIVER,1967,8,30.00%
NA,NIEL CREEK,1967,9,95.00%
NA,GEISH CREEK,1967,7,23.00%
NA,KILPALA RIVER,1967,12,0.660846281907222
500,KADJUSDIS RIVER,1967,7,23.00%
NA,BUGHOUSE CREEK,1967,12,0.660846281907222
0,HIRD POINT CREEK,1967,7,23.00%
0,BOTTLENECK CREEK,1967,7,23.00%
NA,RESCUE BAY CREEKS,1967,7,23.00%
NA,OATSOALIS CREEK,1967,9,95.00%
25,PINE RIVER,1967,7,23.00%
25,DALLERY CREEK,1967,9,95.00%
75,KORICH CREEK,1967,7,23.00%
NA,NEKITE SPAWNING CHANNEL,1967,10,97.00%
NA,SNOOTLI CREEK,1967,8,30.00%
3500,NEKITE RIVER,1967,10,97.00%
25,CARRIDEN CREEK,1967,12,0.660846281907222
NA,LILIAN CREEK,1967,7,23.00%
7500,WAKEMAN RIVER,1967,12,0.660846281907222
25,QUATSE RIVER,1967,12,0.660846281907222
750,MILLS CREEK,1967,12,0.660846281907222
NA,EVE RIVER,1967,12,0.660846281907222
NA,MACKENZIE RIVER,1967,12,0.660846281907222
NA,MCLOUGHLIN CREEK,1967,7,23.00%
0,CRAB HARBOUR CREEK,1967,8,30.00%
NA,MACHMELL RIVER,1967,9,95.00%
NA,CANOE CREEK,1967,10,97.00%
NA,SOUND POINT LAGOON CREEK,1967,7,23.00%
0,MACNAIR CREEK,1967,9,95.00%
3000,JAMES BAY CREEK,1967,7,23.00%
NA,GARBAGE DUMP CREEK,1967,8,30.00%
NA,"NAHWITTI RIVER",1967,12,0.660846281907222
NA,"NAYSASH CREEK",1967,10,97.00%
NA,NIEUMIAMUS CREEK,1967,8,30.00%
0,STRANDBY RIVER,1967,12,0.660846281907222
0,ASSEEK RIVER,1967,8,30.00%
200,ELCHO CREEK,1967,8,30.00%
3500,CLUXEWE RIVER,1967,12,0.660846281907222
1500,DUTHIE CREEK,1967,7,23.00%
NA,SKIMLETS CREEK,1967,8,30.00%
NA,TASTSQUAN CREEK,1967,8,30.00%
NA,HAGENSBORG SLOUGH,1967,8,30.00%
NA,TZEO RIVER,1967,9,95.00%
0,CHUCKWALLA RIVER,1967,9,95.00%
NA,SMOKEHOUSE CREEK,1967,10,97.00%
0,NEECHANZ RIVER,1967,9,95.00%
NA,SIM RIVER,1967,12,0.660846281907222
NA,BOND RIVER NO. 1,1967,12,0.660846281907222
NA,BULLOCK CHANNEL #2 CREEK,1967,7,23.00%
NA,MAPLE CREEK,1967,12,0.660846281907222
200,HYDE CREEK,1967,12,0.660846281907222
NA,THIRD CREEK,1967,8,30.00%
NA,KWAKIUTL CREEK,1967,7,23.00%
NA,WALKER ISLAND CREEK,1967,8,30.00%
NA,WALKUM CREEK,1967,10,97.00%
NA,AIRPORT SIDE CHANNEL,1967,8,30.00%
NA,MARGARET CREEK,1967,10,97.00%
NA,CHIC CHIC CREEK,1967,10,97.00%
0,KILBELLA RIVER,1967,9,95.00%
NA,BULLOCK CHANNEL #3 NORTH CREEK,1967,7,23.00%
75000,KAKWEIKEN RIVER,1967,12,0.660846281907222
NA,FANNIE COVE LEFT HAND CREEK,1967,7,23.00%
NA,SALLY CREEK,1967,7,23.00%
0,SHOAL HARBOUR CREEK,1967,12,0.660846281907222
300,"NAMELESS CREEK",1967,7,23.00%
80000,KAINET CREEK,1967,7,23.00%
25,JOHNSTON CREEK,1967,9,95.00%
NA,OWIKENO LAKE,1967,9,95.00%
NA,HAGEN CREEK,1967,10,97.00%
25,LEE CREEK,1967,7,23.00%
46000,BELLA COOLA RIVER,1967,8,30.00%
0,SONGHEES CREEK,1967,12,0.660846281907222
0,POTTS LAGOON CREEK,1967,12,0.660846281907222
25,LULL CREEK,1967,12,0.660846281907222
NA,DREW CREEK,1967,7,23.00%
NA,DSULISH CREEK,1967,10,97.00%
NA,KILDIDT LAGOON #2 CREEK,1967,7,23.00%
8000,CLATSE CREEK,1967,7,23.00%
0,CHARLES CREEK,1967,12,0.660846281907222
300,TANKEEAH RIVER,1967,7,23.00%
NA,BOSS CREEK,1967,10,97.00%
NA,ROBERT ARM CREEK,1967,9,95.00%
NA,SPILLER LAGOON CREEK,1967,7,23.00%
NA,WAHKANA BAY CREEK,1967,12,0.660846281907222
750,JENNY BAY CREEKS,1967,8,30.00%
50,DEER PASS LAGOON CREEKS,1967,7,23.00%
NA,CUTTER COVE CREEK,1967,12,0.660846281907222
NA,WAHGILAH CREEK,1967,7,23.00%
100,BEALE'S LAGOON CREEK,1967,7,23.00%
750,KLINAKLINI RIVER,1967,12,0.660846281907222
NA,KILDIDT CREEK,1967,7,23.00%
NA,ALLARD CREEK,1967,9,95.00%
400,NOOSESECK RIVER,1967,8,30.00%
NA,REAK CREEK,1967,7,23.00%
NA,JENNIS BAY CREEK,1967,12,0.660846281907222
NA,TALEOMEY RIVER,1967,8,30.00%
NA,PORT HARVEY LAGOON CREEKS,1967,12,0.660846281907222
1000,KUNSOOT RIVER,1967,7,23.00%
200,KISAMEET RIVER,1967,8,30.00%
200,MARTIN RIVER,1967,8,30.00%
0,SKOWQUILTZ RIVER,1967,8,30.00%
500,BIG CREEK,1967,7,23.00%
0,MILTON RIVER,1967,9,95.00%
NA,SUTHERLAND RIVER,1967,12,0.660846281907222
NA,CAMP CREEK,1967,8,30.00%
NA,THORWALD CREEK,1967,8,30.00%
NA,CORTINA CREEK,1967,12,0.660846281907222
NA,TAKUSH RIVER,1967,10,97.00%
NA,KLEMTU CREEK,1967,7,23.00%
15000,MUSSEL RIVER,1967,7,23.00%
NA,STEWART CREEK,1967,7,23.00%
NA,INZIANA RIVER,1967,9,95.00%
NA,WANNOCK RIVER,1967,9,95.00%
0,BOSWELL CREEK,1967,10,97.00%
NA,SPILLER INLET CREEK,1967,7,23.00%
NA,BULLOCK CHANNEL #3 SOUTH CREEK,1967,7,23.00%
NA,JENNY BAY WEST CREEK,1967,8,30.00%
NA,ADA COVE CREEK,1967,7,23.00%
25,NICKNAQUEET RIVER,1967,9,95.00%
200,BOLIN BAY CREEK,1967,7,23.00%
NA,PROTECTION POINT CREEK,1967,12,0.660846281907222
NA,CORDUROY CREEK,1967,10,97.00%
NA,TUNO CREEK,1967,7,23.00%
NA,BRADLEY CREEK,1967,12,0.660846281907222
NA,SHIP POINT CREEK,1967,7,23.00%
260,HOOK NOSE CREEK,1967,8,30.00%
200,NOOTUM RIVER,1967,8,30.00%
0,WALDON CREEK,1967,12,0.660846281907222
0,ASHLULM CREEK,1967,9,95.00%
NA,SHOAL CREEK,1967,12,0.660846281907222
NA,EMILY CREEK,1967,7,23.00%
NA,"NASCALL CREEK",1967,8,30.00%
25,GILFORD CREEK,1967,12,0.660846281907222
NA,"NAKA CREEK",1967,12,0.660846281907222
75,WORAN CREEK,1967,8,30.00%
3500,AHNUHATI RIVER,1967,12,0.660846281907222
3500,KINGCOME RIVER,1967,12,0.660846281907222
NA,SIMOOM SOUND CREEK,1967,12,0.660846281907222
25,AMBACK CREEK,1967,9,95.00%
NA,TUNO CREEK WEST,1967,7,23.00%
0,DEEP BAY CREEK,1967,8,30.00%
25,HEALTH LAGOON CREEK,1967,12,0.660846281907222
0,GORILLA CREEK,1967,7,23.00%
25,CALL CREEK,1967,12,0.660846281907222
0,TOM BAY CREEK,1967,7,23.00%
NA,SHEEMAHANT RIVER,1967,9,95.00%
NA,GRANTHAM CREEK,1967,8,30.00%
25,EMBLEY CREEK,1967,12,0.660846281907222
NA,DE COSMOS LAGOON CREEK,1967,8,30.00%
NA,NOOKLIKONNIK CREEK,1967,8,30.00%
NA,NUSASH CREEK,1967,8,30.00%
NA,FRANKLIN RIVER,1967,12,0.660846281907222
NA,MARION CREEK,1967,12,0.660846281907222
NA,CALDER CREEK,1967,7,23.00%
0,MARY COVE CREEK,1967,7,23.00%
NA,SHELTER BAY CREEK,1967,12,0.660846281907222
NA,SCOTT COVE CREEK,1967,12,0.660846281907222
NA,CLAYTON FALLS CREEK,1967,8,30.00%
NA,WASHWASH RIVER,1967,9,95.00%
NA,TSITIKA RIVER,1967,12,0.660846281907222
0,ROBBERS KNOB CREEK,1967,12,0.660846281907222
75,EVANS INLET #3 CREEK,1967,8,30.00%
NA,CACOOHTIN CREEK,1967,8,30.00%
NA,NEWICHY CREEK,1967,9,95.00%
NA,HAND CREEK,1967,12,0.660846281907222
25,BOUGHEY CREEK,1967,12,0.660846281907222
25,BULLOCK CHANNEL CREEKS,1967,7,23.00%
20000,KWAKUSDIS RIVER,1967,7,23.00%
NA,THIEMER CREEK,1967,12,0.660846281907222
NA,NIMMO CREEK,1967,12,0.660846281907222
NA,FISH CREEK,1967,8,30.00%
NA,ALLARDYCE CREEK,1967,12,0.660846281907222
NA,FANNIE COVE RIGHT HAND CREEK,1967,7,23.00%
0,BULLEY BAY CREEK,1967,7,23.00%
NA,MCINTOSH CREEK,1967,12,0.660846281907222
NA,DOCEE RIVER,1967,10,97.00%
NA,GEORGE HALL CREEK,1967,8,30.00%
NA,COHOE CREEK,1967,12,0.660846281907222
750,FRENCHMAN CREEK,1967,8,30.00%
NA,JENNY BAY SOUTH CREEK,1967,8,30.00%
NA,THORSEN CREEK,1967,8,30.00%
NA,NUSATSUM RIVER,1967,8,30.00%
NA,RICHMOND BAY CREEK,1967,12,0.660846281907222
NA,ELLEN COVE CREEK,1967,12,0.660846281907222
NA,SALLOOMT RIVER,1967,8,30.00%
NA,JENNY BAY EAST CREEK,1967,8,30.00%
NA,CRACROFT CREEK,1967,12,0.660846281907222
NA,SKEENE RIVER,1967,12,0.660846281907222
NA,SOCKEYE CREEK,1967,7,23.00%
NA,NOOHALK CREEK,1967,8,30.00%
NA,COLLINSON CREEK,1967,12,0.660846281907222
NA,FANCY COVE HEAD CREEK,1967,7,23.00%
NA,BLIND CREEK,1967,12,0.660846281907222
NA,NOOSGULCH RIVER,1967,8,30.00%
750,QUATLENA RIVER,1968,8,64.00%
1500,LAGOON CREEK,1968,7,54.00%
NA,PHYLLIS LAKE CREEK,1968,12,0.708655785135782
15000,WATSON BAY CREEK,1968,7,54.00%
25,MATSIU CREEK,1968,12,0.708655785135782
150000,KEOGH RIVER,1968,12,0.708655785135782
NA,ATNARKO SPAWNING CHANNEL,1968,8,64.00%
15000,NECLEETSCONNAY RIVER,1968,8,64.00%
NA,MCALISTER CREEK,1968,12,0.708655785135782
200,CANYON CREEK,1968,7,54.00%
6000,CHAMISS CREEK,1968,7,54.00%
NA,ROBINSON CREEKS,1968,7,54.00%
NA,ELLERSLIE LAGOON CREEK,1968,7,54.00%
5000,ROSCOE CREEK,1968,7,54.00%
NA,HAUSER CREEK,1968,7,54.00%
400,WINDY BAY CREEK,1968,7,54.00%
NA,KENNETH RIVER,1968,12,0.708655785135782
NA,GRASSY BAY CREEK,1968,8,64.00%
3500,CASCADE RIVER,1968,8,64.00%
NA,COLD CREEK,1968,8,64.00%
20000,COOPER INLET CREEKS,1968,7,54.00%
NA,STEELHEAD CREEK,1968,8,64.00%
NA,YOUNG RIVER,1968,9,91.00%
NA,WAHKASH CREEK,1968,12,0.708655785135782
3500,SANDELL RIVER,1968,9,91.00%
20000,SALMON BAY CREEK,1968,7,54.00%
2500,QUARTCHA CREEK,1968,7,54.00%
NA,WATT CREEK,1968,7,54.00%
400,POISON COVE CREEK,1968,7,54.00%
400,GOAT BUSHU CREEK,1968,7,54.00%
3500,"NAMU RIVER",1968,8,64.00%
NA,WINDFALL CREEK,1968,7,54.00%
NA,HOCHSTADER BASIN CREEKS (2),1968,7,54.00%
NA,NEW VANCOUVER CREEK,1968,12,0.708655785135782
NA,FOUR LAKES CREEK,1968,8,64.00%
3500,SAGAR CREEK,1968,8,64.00%
7500,KOKISH RIVER,1968,12,0.708655785135782
NA,TSULTON RIVER,1968,12,0.708655785135782
0,LOCKHART GORDON CREEK,1968,9,91.00%
75,VINER SOUND CREEK,1968,12,0.708655785135782
NA,RETURN CHANNEL CREEKS,1968,7,54.00%
400,WEBSTER LAKE CREEK,1968,7,54.00%
NA,DORIS CREEK,1968,9,91.00%
7500,DEAN RIVER,1968,8,64.00%
NA,PENO CREEK,1968,7,54.00%
NA,DRANEY CREEK,1968,9,91.00%
0,GENESEE CREEK,1968,9,91.00%
7500,AHTA RIVER,1968,12,0.708655785135782
NA,HOGAN CREEK,1968,9,91.00%
NA,ATNARKO RIVER,1968,8,64.00%
125000,KWATNA RIVER,1968,8,64.00%
3500,CARTER RIVER,1968,7,54.00%
1500,AHTA VALLEY CREEK,1968,12,0.708655785135782
70000,NEEKAS CREEK,1968,7,54.00%
NA,KWALATE CREEK,1968,12,0.708655785135782
3500,HOEYA SOUND CREEK,1968,12,0.708655785135782
NA,HYCUND CREEK,1968,12,0.708655785135782
750,NOEICK RIVER,1968,8,64.00%
15000,TSULQUATE RIVER,1968,12,0.708655785135782
7500,SHUSHARTIE RIVER,1968,12,0.708655785135782
75,BIG BAY CREEK,1968,7,54.00%
400,LARD CREEK,1968,7,54.00%
NA,BEAVER CREEK,1968,9,91.00%
200,WALKER LAKE CREEK,1968,7,54.00%
NA,CHOKE PASS CREEKS (3),1968,7,54.00%
NA,PERRY CREEK,1968,9,91.00%
35000,CLYAK RIVER,1968,9,91.00%
NA,NIGGER CREEK,1968,12,0.708655785135782
NA,CREASY BAY RIVER,1968,12,0.708655785135782
NA,SALLIE CREEK,1968,12,0.708655785135782
162500,GLENDALE CREEK,1968,12,0.708655785135782
75,HAUSKIN CREEK,1968,12,0.708655785135782
NA,TUNA RIVER,1968,12,0.708655785135782
0,FULMORE RIVER,1968,12,0.708655785135782
3500,KITASU CREEK,1968,7,54.00%
NA,QUATSESE RIVER,1968,12,0.708655785135782
35000,ADAM RIVER,1968,12,0.708655785135782
15000,NIMPKISH RIVER,1968,12,0.708655785135782
35000,KIMSQUIT RIVER,1968,8,64.00%
NA,ICY RIVER,1968,12,0.708655785135782
NA,GREEN RIVER,1968,8,64.00%
15000,KAMANO BAY CREEK,1968,12,0.708655785135782
NA,TANCRED CREEK,1968,12,0.708655785135782
NA,WALDEN CREEK II,1968,12,0.708655785135782
NA,RAINBOW CREEK,1968,7,54.00%
75000,KOEYE RIVER,1968,8,64.00%
NA,NIEL CREEK,1968,9,91.00%
0,GEISH CREEK,1968,7,54.00%
NA,KILPALA RIVER,1968,12,0.708655785135782
8000,KADJUSDIS RIVER,1968,7,54.00%
NA,BUGHOUSE CREEK,1968,12,0.708655785135782
75,HIRD POINT CREEK,1968,7,54.00%
15000,BOTTLENECK CREEK,1968,7,54.00%
NA,RESCUE BAY CREEKS,1968,7,54.00%
NA,OATSOALIS CREEK,1968,9,91.00%
2000,PINE RIVER,1968,7,54.00%
NA,DALLERY CREEK,1968,9,91.00%
1000,KORICH CREEK,1968,7,54.00%
NA,NEKITE SPAWNING CHANNEL,1968,10,88.00%
NA,SNOOTLI CREEK,1968,8,64.00%
15000,NEKITE RIVER,1968,10,88.00%
3500,CARRIDEN CREEK,1968,12,0.708655785135782
NA,LILIAN CREEK,1968,7,54.00%
3500,WAKEMAN RIVER,1968,12,0.708655785135782
125000,QUATSE RIVER,1968,12,0.708655785135782
15000,MILLS CREEK,1968,12,0.708655785135782
NA,EVE RIVER,1968,12,0.708655785135782
200,MACKENZIE RIVER,1968,12,0.708655785135782
500,MCLOUGHLIN CREEK,1968,7,54.00%
750,CRAB HARBOUR CREEK,1968,8,64.00%
NA,MACHMELL RIVER,1968,9,91.00%
NA,CANOE CREEK,1968,10,88.00%
NA,SOUND POINT LAGOON CREEK,1968,7,54.00%
7500,MACNAIR CREEK,1968,9,91.00%
20000,JAMES BAY CREEK,1968,7,54.00%
NA,GARBAGE DUMP CREEK,1968,8,64.00%
62500,"NAHWITTI RIVER",1968,12,0.708655785135782
NA,"NAYSASH CREEK",1968,10,88.00%
NA,NIEUMIAMUS CREEK,1968,8,64.00%
75000,STRANDBY RIVER,1968,12,0.708655785135782
1500,ASSEEK RIVER,1968,8,64.00%
7500,ELCHO CREEK,1968,8,64.00%
15000,CLUXEWE RIVER,1968,12,0.708655785135782
35000,DUTHIE CREEK,1968,7,54.00%
NA,SKIMLETS CREEK,1968,8,64.00%
NA,TASTSQUAN CREEK,1968,8,64.00%
NA,HAGENSBORG SLOUGH,1968,8,64.00%
NA,TZEO RIVER,1968,9,91.00%
7500,CHUCKWALLA RIVER,1968,9,91.00%
NA,SMOKEHOUSE CREEK,1968,10,88.00%
NA,NEECHANZ RIVER,1968,9,91.00%
400,SIM RIVER,1968,12,0.708655785135782
NA,BOND RIVER NO. 1,1968,12,0.708655785135782
NA,BULLOCK CHANNEL #2 CREEK,1968,7,54.00%
NA,MAPLE CREEK,1968,12,0.708655785135782
750,HYDE CREEK,1968,12,0.708655785135782
NA,THIRD CREEK,1968,8,64.00%
NA,KWAKIUTL CREEK,1968,7,54.00%
NA,WALKER ISLAND CREEK,1968,8,64.00%
25,WALKUM CREEK,1968,10,88.00%
NA,AIRPORT SIDE CHANNEL,1968,8,64.00%
NA,MARGARET CREEK,1968,10,88.00%
NA,CHIC CHIC CREEK,1968,10,88.00%
7500,KILBELLA RIVER,1968,9,91.00%
NA,BULLOCK CHANNEL #3 NORTH CREEK,1968,7,54.00%
62500,KAKWEIKEN RIVER,1968,12,0.708655785135782
NA,FANNIE COVE LEFT HAND CREEK,1968,7,54.00%
NA,SALLY CREEK,1968,7,54.00%
0,SHOAL HARBOUR CREEK,1968,12,0.708655785135782
70000,"NAMELESS CREEK",1968,7,54.00%
1e+05,KAINET CREEK,1968,7,54.00%
35000,JOHNSTON CREEK,1968,9,91.00%
NA,OWIKENO LAKE,1968,9,91.00%
NA,HAGEN CREEK,1968,10,88.00%
800,LEE CREEK,1968,7,54.00%
1750000,BELLA COOLA RIVER,1968,8,64.00%
3500,SONGHEES CREEK,1968,12,0.708655785135782
NA,POTTS LAGOON CREEK,1968,12,0.708655785135782
200,LULL CREEK,1968,12,0.708655785135782
NA,DREW CREEK,1968,7,54.00%
NA,DSULISH CREEK,1968,10,88.00%
NA,KILDIDT LAGOON #2 CREEK,1968,7,54.00%
50000,CLATSE CREEK,1968,7,54.00%
NA,CHARLES CREEK,1968,12,0.708655785135782
800,TANKEEAH RIVER,1968,7,54.00%
NA,BOSS CREEK,1968,10,88.00%
NA,ROBERT ARM CREEK,1968,9,91.00%
NA,SPILLER LAGOON CREEK,1968,7,54.00%
NA,WAHKANA BAY CREEK,1968,12,0.708655785135782
15000,JENNY BAY CREEKS,1968,8,64.00%
NA,DEER PASS LAGOON CREEKS,1968,7,54.00%
NA,CUTTER COVE CREEK,1968,12,0.708655785135782
NA,WAHGILAH CREEK,1968,7,54.00%
4000,BEALE'S LAGOON CREEK,1968,7,54.00%
3500,KLINAKLINI RIVER,1968,12,0.708655785135782
NA,KILDIDT CREEK,1968,7,54.00%
NA,ALLARD CREEK,1968,9,91.00%
15000,NOOSESECK RIVER,1968,8,64.00%
NA,REAK CREEK,1968,7,54.00%
NA,JENNIS BAY CREEK,1968,12,0.708655785135782
750,TALEOMEY RIVER,1968,8,64.00%
NA,PORT HARVEY LAGOON CREEKS,1968,12,0.708655785135782
25000,KUNSOOT RIVER,1968,7,54.00%
NA,KISAMEET RIVER,1968,8,64.00%
750,MARTIN RIVER,1968,8,64.00%
NA,SKOWQUILTZ RIVER,1968,8,64.00%
8000,BIG CREEK,1968,7,54.00%
15000,MILTON RIVER,1968,9,91.00%
NA,SUTHERLAND RIVER,1968,12,0.708655785135782
NA,CAMP CREEK,1968,8,64.00%
NA,THORWALD CREEK,1968,8,64.00%
NA,CORTINA CREEK,1968,12,0.708655785135782
NA,TAKUSH RIVER,1968,10,88.00%
NA,KLEMTU CREEK,1968,7,54.00%
30000,MUSSEL RIVER,1968,7,54.00%
NA,STEWART CREEK,1968,7,54.00%
NA,INZIANA RIVER,1968,9,91.00%
NA,WANNOCK RIVER,1968,9,91.00%
0,BOSWELL CREEK,1968,10,88.00%
NA,SPILLER INLET CREEK,1968,7,54.00%
NA,BULLOCK CHANNEL #3 SOUTH CREEK,1968,7,54.00%
NA,JENNY BAY WEST CREEK,1968,8,64.00%
NA,ADA COVE CREEK,1968,7,54.00%
25,NICKNAQUEET RIVER,1968,9,91.00%
1500,BOLIN BAY CREEK,1968,7,54.00%
0,PROTECTION POINT CREEK,1968,12,0.708655785135782
NA,CORDUROY CREEK,1968,10,88.00%
300,TUNO CREEK,1968,7,54.00%
NA,BRADLEY CREEK,1968,12,0.708655785135782
NA,SHIP POINT CREEK,1968,7,54.00%
7500,HOOK NOSE CREEK,1968,8,64.00%
7500,NOOTUM RIVER,1968,8,64.00%
0,WALDON CREEK,1968,12,0.708655785135782
NA,ASHLULM CREEK,1968,9,91.00%
NA,SHOAL CREEK,1968,12,0.708655785135782
NA,EMILY CREEK,1968,7,54.00%
NA,"NASCALL CREEK",1968,8,64.00%
25,GILFORD CREEK,1968,12,0.708655785135782
NA,"NAKA CREEK",1968,12,0.708655785135782
7500,WORAN CREEK,1968,8,64.00%
55000,AHNUHATI RIVER,1968,12,0.708655785135782
7500,KINGCOME RIVER,1968,12,0.708655785135782
0,SIMOOM SOUND CREEK,1968,12,0.708655785135782
25,AMBACK CREEK,1968,9,91.00%
NA,TUNO CREEK WEST,1968,7,54.00%
750,DEEP BAY CREEK,1968,8,64.00%
NA,HEALTH LAGOON CREEK,1968,12,0.708655785135782
0,GORILLA CREEK,1968,7,54.00%
0,CALL CREEK,1968,12,0.708655785135782
50,TOM BAY CREEK,1968,7,54.00%
NA,SHEEMAHANT RIVER,1968,9,91.00%
NA,GRANTHAM CREEK,1968,8,64.00%
40000,EMBLEY CREEK,1968,12,0.708655785135782
NA,DE COSMOS LAGOON CREEK,1968,8,64.00%
NA,NOOKLIKONNIK CREEK,1968,8,64.00%
NA,NUSASH CREEK,1968,8,64.00%
NA,FRANKLIN RIVER,1968,12,0.708655785135782
NA,MARION CREEK,1968,12,0.708655785135782
NA,CALDER CREEK,1968,7,54.00%
0,MARY COVE CREEK,1968,7,54.00%
NA,SHELTER BAY CREEK,1968,12,0.708655785135782
0,SCOTT COVE CREEK,1968,12,0.708655785135782
NA,CLAYTON FALLS CREEK,1968,8,64.00%
NA,WASHWASH RIVER,1968,9,91.00%
750,TSITIKA RIVER,1968,12,0.708655785135782
NA,ROBBERS KNOB CREEK,1968,12,0.708655785135782
3500,EVANS INLET #3 CREEK,1968,8,64.00%
NA,CACOOHTIN CREEK,1968,8,64.00%
NA,NEWICHY CREEK,1968,9,91.00%
NA,HAND CREEK,1968,12,0.708655785135782
400,BOUGHEY CREEK,1968,12,0.708655785135782
800,BULLOCK CHANNEL CREEKS,1968,7,54.00%
40000,KWAKUSDIS RIVER,1968,7,54.00%
0,THIEMER CREEK,1968,12,0.708655785135782
NA,NIMMO CREEK,1968,12,0.708655785135782
NA,FISH CREEK,1968,8,64.00%
NA,ALLARDYCE CREEK,1968,12,0.708655785135782
NA,FANNIE COVE RIGHT HAND CREEK,1968,7,54.00%
25,BULLEY BAY CREEK,1968,7,54.00%
NA,MCINTOSH CREEK,1968,12,0.708655785135782
NA,DOCEE RIVER,1968,10,88.00%
NA,GEORGE HALL CREEK,1968,8,64.00%
NA,COHOE CREEK,1968,12,0.708655785135782
7500,FRENCHMAN CREEK,1968,8,64.00%
NA,JENNY BAY SOUTH CREEK,1968,8,64.00%
NA,THORSEN CREEK,1968,8,64.00%
NA,NUSATSUM RIVER,1968,8,64.00%
NA,RICHMOND BAY CREEK,1968,12,0.708655785135782
NA,ELLEN COVE CREEK,1968,12,0.708655785135782
NA,SALLOOMT RIVER,1968,8,64.00%
NA,JENNY BAY EAST CREEK,1968,8,64.00%
0,CRACROFT CREEK,1968,12,0.708655785135782
NA,SKEENE RIVER,1968,12,0.708655785135782
NA,SOCKEYE CREEK,1968,7,54.00%
NA,NOOHALK CREEK,1968,8,64.00%
NA,COLLINSON CREEK,1968,12,0.708655785135782
NA,FANCY COVE HEAD CREEK,1968,7,54.00%
NA,BLIND CREEK,1968,12,0.708655785135782
NA,NOOSGULCH RIVER,1968,8,64.00%
0,QUATLENA RIVER,1969,8,16.00%
30,LAGOON CREEK,1969,7,11.00%
NA,PHYLLIS LAKE CREEK,1969,12,0.329019508723536
25,WATSON BAY CREEK,1969,7,11.00%
NA,MATSIU CREEK,1969,12,0.329019508723536
1500,KEOGH RIVER,1969,12,0.329019508723536
NA,ATNARKO SPAWNING CHANNEL,1969,8,16.00%
75,NECLEETSCONNAY RIVER,1969,8,16.00%
NA,MCALISTER CREEK,1969,12,0.329019508723536
0,CANYON CREEK,1969,7,11.00%
200,CHAMISS CREEK,1969,7,11.00%
NA,ROBINSON CREEKS,1969,7,11.00%
NA,ELLERSLIE LAGOON CREEK,1969,7,11.00%
6000,ROSCOE CREEK,1969,7,11.00%
NA,HAUSER CREEK,1969,7,11.00%
500,WINDY BAY CREEK,1969,7,11.00%
NA,KENNETH RIVER,1969,12,0.329019508723536
NA,GRASSY BAY CREEK,1969,8,16.00%
NA,CASCADE RIVER,1969,8,16.00%
NA,COLD CREEK,1969,8,16.00%
10000,COOPER INLET CREEKS,1969,7,11.00%
